,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
131,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0
132,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0
133,4.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
134,4.0,5.0,4.0,5.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0
135,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
136,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0
137,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
138,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0
139,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0
140,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
141,4.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
142,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0
143,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0
144,4.0,2.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,2.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0
145,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0
146,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
147,5.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0
148,5.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,5.0,4.0
149,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
150,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0
151,3.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
152,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
