,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
118,5.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
119,4.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
120,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
121,4.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
122,4.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0
123,4.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
124,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0
125,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
126,4.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0
127,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
128,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0
129,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0
130,5.0,2.0,5.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0
